frame,bbox,upscale_text,upscale_morph_text
89,"407,896,599,999",01] ১১-৮৩8৯ স[0!|1 ;[,"১১-৮৩8 ৬1 21,141 4"
90,"390,894,585,1001",ো,;3
91,"375,895,574,1000",3,2<
92,"366,895,559,999",চট্ট মেট্রো ১১-৮৩৪৯,চট্ট মেট্রো ১১-৮৩৪৯
93,"352,892,549,1000",২ ৫০};1 ১১-৮৩১১,২ ৫০;1 ১১-৮৩১১
94,"343,894,539,997",চ5 মে্দ্রা- ১১-৮  ৪৯,চউ মেদ্্রো-গ ১১-৮১৪৯
95,"338,894,530,999",0 (ম৫] ১১-৮ ৩৯,গট (ধ] ১১-৮ ৩৯
96,"328,895,524,1003",,
97,"325,897,517,1002",0(1|1- 4))=|0)8@ 911,(301|| ;3-10)8> 911
98,"323,898,514,1001",৮৬ মেট্রো ১১-৮৩৪৯,৬৬ মেড্েো ১১-৮৩৪৯
99,"321,899,510,1001",চট্ট মেট্টেো ১১-৮৩৪৯,চট্ট মেট্রো ১১-৮৩৪৯
100,"312,898,507,1005",,
101,"304,898,504,1006",,
102,"292,899,495,1011",,
103,"283,902,482,1009",,
104,"276,902,471,1007",,
105,"264,901,461,1008",,
106,"253,900,455,1009",,
107,"243,898,447,1009",,
108,"232,896,439,1008",,
109,"222,895,427,1007",,
110,"211,896,410,1007",,
111,"200,896,399,1006",,
112,"190,893,393,997",,
113,"177,891,385,995",, >
114,"164,891,375,993",,
115,"152,891,364,995",,
116,"141,890,349,998",,
117,"127,889,334,1004",,
118,"112,889,321,1002",,
119,"106,891,313,996",,
120,"93,888,306,997",,
121,"84,891,290,999",,
122,"71,894,272,1003",9)_4_]'- ১&-1`8>,9)74|' ১১-``8>
123,"61,896,258,1005",4017 *41 014;!,@017 141 034;!
124,"47,893,247,1007",,
125,"37,897,236,1006",'4!|! ')947)4 441/|,91||4[|! '9)2444
126,"27,898,229,1007",,
127,"16,899,218,1007",,
128,"9,899,205,1005",মেড্রো ১১-৮ ৪৯ চড়,মেদ্রো: ১১-৮ ৪৯ ৮ণ
129,"0,898,198,1005",চট্ মের ১১- 8:,চট্ট মেদর ১১-য  ৪:
130,"0,900,185,1003",চট্ট মেট্রো-গ ১১-৮৩৪৯,চট্ট মেট্রো গ ১১-৮৩৪৯
131,"0,894,180,999",,
133,"0,890,171,997",,
134,"0,887,166,1007",,
135,"0,889,164,999",,
136,"0,888,166,998",,
137,"0,886,172,997",,
138,"0,887,176,995",,
139,"0,888,177,992",,৬ '2 }1
140,"0,886,180,988",,
141,"0,885,178,985",চট্ট মেড্রা ১১-৮৩৪৯,চট্ট মেদ্রা ১১-৮৩৪৯
142,"0,882,183,984",,
143,"0,882,178,985",,
144,"0,881,168,988",,
144,"1885,854,1919,979",,
145,"0,876,160,985",,
145,"1875,854,1919,975",,
146,"0,881,153,986",,
146,"1867,854,1920,972",,
147,"0,883,146,985",,
147,"1861,855,1920,972",,
148,"0,883,140,982",,
148,"1854,855,1920,974",,
149,"1847,855,1919,974",,
149,"0,881,132,980",,
150,"1838,855,1919,968",,
150,"0,880,120,980",':8,"_""8"
151,"1831,853,1920,966",,
151,"0,880,114,980",,
152,"1826,852,1920,963",,
152,"0,876,107,980",,
153,"1816,849,1920,962",,
154,"1809,849,1920,962",,
155,"1803,848,1920,962",,
156,"1795,849,1920,963",১3:`,১3::
156,"0,877,69,982",,
157,"1788,849,1920,964",383,[১:<
157,"0,874,59,982",,
158,"1782,848,1919,964",,
158,"0,878,46,981",,
159,"1771,848,1918,967",,
159,"0,873,41,987",,
160,"0,871,32,984",,
161,"0,869,28,986",,
161,"1754,849,1917,962",,
162,"1746,850,1917,962",,
163,"1736,850,1918,964",,
164,"1727,852,1919,970",,
165,"1717,852,1919,972",,
166,"1706,854,1919,973",,
167,"1695,856,1913,974",,
168,"1687,858,1907,974",,
169,"1679,859,1899,974",,
170,"1670,859,1890,977",,
171,"1662,860,1882,981",,
172,"1650,859,1870,980",২য .হ 43833083,২য .&0 833064
173,"1639,858,1855,977",চট্ --্ট্রয ১৪ং২৩০১,চ্ট হে-্ট্রো ১৪ ২৩০১
174,"1631,856,1843,975",চট্ট মে-ট্রো ১৪ ২৩৫১,চট্ট মেট্রো ১৪ং২৩৫১
175,"1621,857,1831,974",চট্ট হেেট্রাগ ১৪ ২৩৫১,চট্ট হেট্রোগ ১৪ ২৩৫১
176,"1608,856,1821,974",চট্টর কেেট্রা ১৪ ২৩৫১,চট্র কেেট্রো ১৪ ২৩৫১
177,"1596,855,1809,973",ঢট মেদ্রা ১৪-২৩৫১,চ্ট্র মেপ্ট্রাো: ১৪ং২৩৫১
178,"1585,853,1797,971",স!ো9 ১৪ ২৩০ ১ ৮9,ম!ে! প ১৪-২৩০১ ৮৬
179,"1574,851,1782,970",চদ সেডে]  ১৪২৩৫ ১,চ}] মেট] শ ১৪২২৩৫১
180,"1557,849,1769,970",১৬ যেদো ১8৪২৩8,১৬ যেংদ) ১৪৪২৩০ 
181,"1547,850,1755,967",চট্ট মেট্রো গ ১৪ং২৩৫১,চট্ট মেট্রো গ ১৪ং২৩৫১
182,"1535,850,1748,971",২য {ে ১88336>,.মৈেয ১8৪২৩6১
183,"1525,849,1736,971",,
184,"1512,849,1725,973",(২< *],
185,"1501,849,1709,972",,
186,"1490,851,1698,969",১৩ 0760]1 91 388~! ৩৫,"১ঔ 0770]1 ""1 388~ ৩৫১"
187,"1479,851,1685,967",চট্ট মেট্রোগ ১৪-২৩৫১,চট্ট মেট্রো গ ১৪-২৩৫১
188,"1467,849,1675,964",চ) দ1 441 ১৪:১০,5991-4 ১৪:১৩০১
189,"1456,846,1666,965",,
190,"1447,847,1657,964",,
191,"1440,849,1648,966",মট মে ১৪:২০০১,মেেন ১৪ ২০০১
192,"1431,849,1636,963",চট্ট মেমেচরো-প ১৪-২৩০১,চ্ট্ট .7ষর] % ১৪-২৩০১
193,"1425,848,1625,961",চট্ট মেট্রো-গ ১৪-২৩৫১,চট্ট মেট্রো-গ ১৪-২৩৫১
194,"1413,848,1619,962",চট্ট নে-্ট্রা প ১৪-২৩৫১,চট্ট নেন্ট্রা^ ১৪-২৩৫১
195,"1404,847,1612,964",চট মচ ১০ ২ ৫,চ্ষ ম ১০ং১৪`
196,"1396,847,1606,963","53 -মষ |8 6"">581",চঃ :র 2$8>8
197,"1389,846,1597,962",স;  323$383#4,53ম [338>633
198,"1381,845,1587,960",চট $ 3*26,"চট  $3""6'"
199,"1372,844,1577,958",চট 'ষড >8:>94>,চট চট >8ং>94>
200,"1363,843,1571,958",ম 8;>4_,স 8:>84>
201,"1356,843,1564,959","83 3"" *",  3338
202,"1348,842,1558,958",,
203,"1342,841,1549,956",,
204,"1334,841,1540,955",,
205,"1325,839,1535,956",,
206,"1316,841,1525,955",,
207,"1309,841,1516,956",,
208,"1299,841,1510,957",,
209,"1290,842,1500,956",,
210,"1281,843,1491,957",,
211,"1270,842,1480,961",,
212,"1261,844,1471,963",চে 25 83338>439284,;435 >33:>4924
213,"1250,845,1463,961",,
214,"1239,847,1454,962",,
215,"1230,849,1445,965",,
216,"1219,852,1435,967",,
217,"1212,856,1425,971",,
218,"1202,856,1413,973",8-3){,22722 ~8-38>|
219,"1193,858,1402,974",দ) 2প  ১৪-১৬৫১,স) যেম ১৪-১৩৫>
220,"1184,861,1395,977",4 >533493,4 ^5:3493
221,"1175,862,1387,979",,
222,"1163,864,1380,978",,
223,"1155,867,1370,984",,
224,"1145,866,1357,987",3}33880,[3}3$882
225,"1136,868,1345,986",চট্ট যেট্রো গ ১৪ ২৩৫১,চট্ট যেট্রো গ ১৪ ২৩৫১
226,"1128,869,1331,986",চট্ট মেট্রো গ ১৪-২৩৫১,চট্ট মেট্রো গ ১৪-২৩৫১
227,"1115,870,1321,987",চ্ট্ট মেট্রো গ ১৪-২৩৫১,চট্ট মেট্রী গ ১৪-২৩৫১
228,"1103,870,1313,988",চট মেচে ১৪ ২৩৫১ ,চটমেের ১৪ ২৩৫১
229,"1091,871,1304,988",স8_ ১8ং>6,:= ._ _8:>84
230,"1080,870,1292,989","84872_ >83>""","4 $0"">"""
231,"1066,870,1280,988",>্5-য8 8:>34,82 >8:>34
232,"1055,869,1266,990",",7-3 ১৪ং২০৫১",চটক-_ ১৪ ২০৫১
