frame,bbox,upscale_text,upscale_morph_text
510,"1102,552,1277,672",সষটর ্5 ১১:১৭93,ছহটর 5 ১১:১৭৩3
511,"1095,554,1270,672","55 .>3""","চ_5 ?১:>৭"""
512,"1089,553,1261,671",?8 :>,:3ম335 ?3:>34
513,"1081,554,1256,671",,
514,"1072,550,1247,669",43,১-488
515,"1068,549,1238,668","5প মটো৬ ?১->৭9""",503]0 ?১->৭99
516,"1061,550,1233,669",চট্5 ?3:>৭4=,চটেচ্চ !১:>৭9
517,"1052,548,1225,667",গ্ মেচ:্চ !১->39,গমতেঃ্চ &3->39
518,"1046,550,1218,667",=চ-্5 ?১:>৭,=মচচ ?১^>৭8
519,"1041,550,1211,668",১৮-5 2>:>98,মটম_-5 4$:>093
520,"1034,549,1206,667",সকে্চ 4১:>৭৬,মটকেচচ ?১ ১৭৬৬
521,"1026,548,1199,668",স-তর্5 ১১:১৭9,সতর ্$ ১১:১৭
522,"1021,549,1191,667",স} মেচ ্য ৪১:১৭৬,ম}ম্য ২১:১৭৬
523,"1013,549,1183,667",সমত্রা ্চ ৫১-২৭৩৩,স্টমত্র ্5 ৫১-২৭৩৩
524,"1003,549,1174,667",স্টর-ষ্ট্রো চ ৫১-২৭৩,স্টর-ষ্রো 5 ৫১-২৭৩
525,"995,548,1164,667",1$33088,"2_:>9"""
526,"985,550,1155,666",,
527,"975,553,1148,663",,
528,"966,552,1137,665",,
529,"955,553,1127,663",,
530,"944,551,1115,663",,
531,"930,549,1103,665","; 35 24"">89","দুন্5 ?১"">^8"
532,"921,549,1091,664",,
533,"909,551,1080,663",,
534,"897,553,1068,662",,
535,"883,551,1056,663",,
536,"872,550,1042,662",,
537,"858,550,1031,662",,
538,"846,553,1016,661",,
539,"832,553,1003,661",,
540,"819,553,989,662",,
541,"804,553,975,660",,
542,"790,550,962,661",,
543,"776,550,948,661",,
544,"762,554,934,661",,
545,"747,554,920,660",,
546,"729,553,904,660",,
547,"716,554,888,661",,
548,"699,555,873,659",,
549,"680,555,854,660",,
550,"663,555,836,660",,
551,"643,560,818,659",,
552,"622,554,800,659",,
557,"510,554,688,656",,
558,"484,554,664,658",,
559,"462,553,641,654",,
560,"436,554,619,658",,
561,"410,554,597,656",,
562,"385,556,572,660",,
563,"359,555,548,660",,
564,"336,554,524,658",,
567,"262,554,453,659",,
568,"240,552,432,659",,
569,"219,554,410,660",,
570,"193,547,390,659",33:3,3: 8
571,"180,552,374,660",,
572,"164,552,359,659",,
573,"152,549,351,659",,
574,"143,546,342,660",,
575,"134,546,331,658",১-১৭,৪১-১
576,"128,546,324,657",ঢ৬ মেদ্রো ৮ ৫১-২৭,ঢ৬ মেদ্রো ৮ ৫১-২৭
577,"122,547,317,659",চট্ট মেেট্রো চ ৫১-২৭,চট্ট মেেট্রো চ ৫১-২৭
578,"115,547,313,660",চট্ট মেেট্রো: চ ৫১-২৭,চট্ট মেট্রো:চ ৫১-২৭
579,"110,548,308,661",চট্ট সেেট্রো-চ ৫১-২৭,চট্ট নেেট্রো-চ ৫১-২৭৩
580,"106,549,304,661",যদ্য' ৪১-১৭,মযে ?১-১৭৩
581,"102,550,300,662",368-5 ?8>৭8,.-3 ?3:>৭8
582,"97,550,297,663",চা .52৫ _33388,ডা  চ :১;35308
583,"95,551,295,663",,
584,"93,552,293,663",,
585,"92,553,293,663",,
586,"91,554,293,663",,
587,"89,556,292,663",,
588,"89,554,292,661",,
589,"91,555,294,661",,
590,"92,554,296,661",,
591,"96,554,298,660",,
592,"102,552,303,661",,
593,"110,553,309,659",,
602,"343,556,534,650",,
605,"450,552,632,645",,
612,"681,543,854,636",,
613,"711,539,888,635",,
614,"743,542,920,635",,
616,"806,543,981,630",,
623,"1013,528,1190,625",,
624,"1041,532,1218,626",,
626,"1093,526,1276,623",,
627,"1122,527,1301,622",,
628,"1147,528,1326,622",,
629,"1169,525,1348,621",,
630,"1191,521,1373,620",,
631,"1212,522,1397,622",,
632,"1236,521,1418,622",,
633,"1253,518,1439,623",,
634,"1274,518,1456,624",,
635,"1294,514,1479,622",,
636,"1312,519,1500,624",,
637,"1332,516,1521,624",,
638,"1350,516,1542,625",,
639,"1372,518,1562,624",,
642,"1433,517,1627,626",,
644,"1478,520,1675,626",,
646,"1526,520,1729,628",,
676,"213,895,513,1058",,
677,"255,894,536,1054",,
678,"280,891,560,1050",,
679,"308,889,579,1052",,
680,"326,885,603,1045",,
681,"352,881,622,1040",,
682,"379,877,644,1041",,
683,"404,875,662,1028",,
684,"420,869,680,1025",,
685,"438,868,698,1020",,
686,"455,863,719,1012",,
687,"480,862,737,1011",,
688,"504,859,754,1006",,
689,"520,856,771,1003",,
690,"540,855,789,1001",,
691,"554,852,806,997",,
692,"572,851,827,996",,
693,"598,847,845,994",,
694,"622,845,866,986",,
695,"646,844,890,986",,
696,"666,841,913,980",,
701,"810,832,1033,966",( ঘ়]]1 সয ৭ `,! থ়দ]]
702,"810,831,1053,969",,
703,"818,834,1058,967",,
704,"840,834,1064,966",,
705,"851,839,1072,968",( 4৫!]] 2_83৬9,( 4৫!]] 2_৭3৬9
706,"840,833,1081,962",,
715,"1084,855,1317,977",,
720,"1169,907,1397,1029",,
721,"1175,906,1404,1035",,
722,"1185,904,1410,1031",,
723,"1190,902,1420,1025",,
724,"1207,906,1430,1025",১২ ৭ ২ ঊ ',১ ২ ৭ ২৬
725,"1221,903,1442,1025",,
726,"1226,905,1453,1025",,
727,"1229,901,1464,1024",,
728,"1239,900,1470,1022",,
729,"1248,902,1475,1023",,
730,"1263,904,1494,1022",,
731,"1272,900,1507,1023",,
732,"1284,901,1515,1022",,
735,"1326,900,1552,1019",,
736,"1331,898,1565,1021",,
737,"1350,900,1574,1023",,
738,"1371,904,1596,1027",,
739,"1380,902,1610,1024",,
740,"1405,911,1629,1027",,
758,"0,711,43,837",,
760,"0,713,80,840",,
761,"0,711,99,845",,
762,"0,712,115,845",,
763,"0,716,129,844","40)9"",","40)9*,"
764,"0,716,145,851",,
765,"0,715,161,848",'414 47,144414 47
766,"0,716,179,851",007.,"07,"
767,"0,715,198,849",,
768,"0,715,215,845",,
769,"14,715,230,844",,
770,"36,715,246,846",0,0
771,"49,714,265,846",3-3%8,ঢট :মরব -33১
772,"65,714,278,843",চট্র মেট্রো গ ১৪-২৩৫১,চট্ মেট্রো গ ১৪-২৩৫১
773,"76,714,291,845",,
774,"95,713,306,843",চঢ @েদ্ো 4 ১৪-২০৫১,চদ্ সেদ্রেো গ ১৪-২০৫১
775,"107,712,323,839",চ্টস -8->4,"চসগ _8-3,4"
776,"121,713,332,840",চ০দ্রা % ১৪-২০১|,চ০ যেদ্রো স ১৪-২৩১
777,"129,715,343,842",,
778,"144,714,354,844",চট্ট মে-ড্রা-গ ১৪-২০৫১,চট্ট মে-ড্রা-গ ১৪-২০৫১
779,"154,716,364,843",চট্ট মেট্রো-গ ১৪-২৩৫১,চট্ট মেট্রো-গ ১৪-২৩৫১
780,"159,717,375,842",,
781,"167,718,387,839",,
782,"184,714,397,845",১৪-২০৫১ মেদ্র},মেদ্রা ১৪-২০৫১
783,"197,714,405,843",04 04্] প ' /8-'0১,04 02] প ' /84 '0
784,"202,717,414,845",চট্ নেটরো ১৪-২০৫১,চট মেেদ্রেো- গ ১৪-২০৫১
785,"206,720,425,843",,
786,"222,721,436,848",,
787,"233,723,446,848",,"{বম >3"""
788,"242,725,454,851","চটসেক্ _8->"",4!","চট সেব _8->"",4!"
789,"255,724,461,847",চট্ট মেট্রো-গ ১৪-২৩৫১,চট্ট মেট্রো গ ১৪-২৩৫১
790,"265,724,473,847","'""[|1 ^ ^/886'0) 0৭","(""[1 /4 ^/886'0;. 01"
791,"270,725,483,849",চটর যেঢ্রো ১৪-২০৫১,চটরযেত্রো ১৪-২০৫১
792,"275,725,492,847",,
793,"286,717,501,849",<:3],1
794,"294,719,511,847",৮$33:,হ:0 [`:383383
795,"306,720,521,845",433 8:>3,4_ 3:>
796,"316,723,532,845",,
797,"325,720,545,844",,
798,"339,718,557,847",_,২<
799,"349,719,571,845",,
800,"367,721,585,847",,
801,"381,724,598,848",,
802,"397,727,613,850","""= >3:>?",= ১৪'১8
803,"412,731,629,853",,
804,"427,732,644,856",স্ট মেটরা ১৪-২৩৫১,স্ট মেদ ১৪-২৩৫১
805,"439,734,659,857",,
806,"450,737,675,856",,
807,"468,736,689,858",7769,4238|
808,"488,737,703,860","""1|1 9| ১333000> 09",78111 9| ১3330৩^> 9৬)
809,"505,736,721,856",চট্ট মেট্রোগ ১৪-২৩৫১,চট্ট মেট্রোগ ১৪-২৩৫১
810,"518,735,738,854",চরব- ১৪->৩৫১,চরসে-স ১৪->৩৫১
811,"530,733,754,852",,
812,"545,729,772,849",,
813,"566,727,787,848",চট় ক্}-গ ১৪-২৩৫১,চট েষ্-গ ১৪-২৩৫১
814,"586,723,806,846","32131 9""23",2;08 3923>8^
815,"604,723,824,843","""2828' _9-84>","4238"" %,-28)4"
816,"617,718,837,842",@ঢ গ ১৪-২৩৫১ ৮9,@ঢঁগ ১৪-৩৫১ ৮9
817,"634,718,851,841",01 দোড[ ১4৪৩৫,"01]@(4[1 "" ১৯৪১৩৫১"
818,"650,715,868,839",,
819,"659,716,881,840",চট .} &-<80,ডওপ _&-<8(
820,"674,716,891,841",91)001[! 6)/39,91] 461]1 91 ১433৩0
821,"682,716,911,844",,
822,"693,717,917,843",[334<06,|633430
823,"702,718,921,840",চট্ েন্ট্রোপ ১৪-২৩৫১,চট্ মেনট্রোপ ১৪-২৩৫১
824,"708,716,933,842",স্5 মেট ১৪:১7>,চ্ যক৮ ১৪:১১
825,"719,713,946,840",,
826,"722,717,961,838",,
827,"739,720,971,839",,
828,"761,716,986,840","333>""63",#$?6>
829,"779,715,1000,838",৩ট নেশ্রা ১৪-২৩৫১,মে%] ১৪-২৩৫১ ৮ট
830,"791,715,1015,836","১"">","১3""3"
831,"800,715,1029,836",,
832,"817,712,1042,834",ছ {809 ১8-২৩69,১ট মর5ী ১8-২০6১
833,"831,711,1056,832",52 [3838<2,হ_ 38:>32
834,"844,711,1069,830",,
835,"857,707,1083,827",4ম25 >8:>8,ম5 _8:34
836,"872,705,1096,826",চট স্চ ১৪:২৬৫১,চ ম ১৪:২৩৫১
837,"884,702,1112,825",,
838,"899,700,1129,823",,
839,"912,699,1143,820",,
840,"930,697,1159,822",44034>348>,১১ '৫য 034?8_
841,"947,698,1177,822",33383438|,03333442|
842,"957,699,1193,817",,
843,"972,700,1210,823",,
844,"999,699,1228,826",ম3 [4836,০ 1$88308
845,"1011,698,1248,829",১ছ;4, ১৯২
846,"1016,706,1262,825",,
847,"1036,710,1279,830",,
848,"1066,709,1298,835",শঙা]] 3)8380833 ১৬,ো ১৪৪১৩6১ ৮৬
849,"1087,708,1318,834",৫৫ট ১৯৯৩৫৮,৫ ১৯৯৩৫৮
850,"1095,711,1339,835",,
851,"1111,710,1359,830",,
852,"1135,709,1375,833",,
853,"1161,704,1395,832",,
854,"1183,702,1415,830",,
855,"1204,700,1434,827",019,9)09
856,"1225,700,1456,824",4817 ১843৩03 ৫,নং]7 ১8৪৩0$ ৫৬
857,"1237,698,1478,821",,
858,"1249,696,1496,818",,
859,"1266,694,1514,821",,
860,"1295,694,1528,819",,
861,"1319,694,1549,818",৩1| 09!(1]| 88৩03,01 0শ) ১8৪৮৩03
862,"1331,695,1568,819",":5,",
863,"1342,695,1587,817",,
864,"1357,696,1601,814",,
865,"1372,698,1616,817",,
866,"1388,697,1634,818",,
867,"1407,698,1649,820",,
868,"1429,696,1666,822",[২২3,[২২3
869,"1445,695,1685,823",,
870,"1453,698,1702,817",,
871,"1471,697,1718,816",,
872,"1493,698,1734,820",7,7
873,"1515,696,1753,820",43333244334,১ষষ :3 4338244334
874,"1531,693,1773,820",২<3;,২3;
875,"1550,689,1795,819",,
876,"1570,689,1814,816",,
877,"1589,691,1835,813",,
878,"1611,691,1857,813",,
879,"1630,692,1879,817",,
880,"1657,691,1898,820",,
881,"1683,692,1919,822",,
882,"1697,694,1918,826",,
883,"1710,695,1917,823",,
884,"1732,697,1919,820",,
885,"1760,697,1919,825",[338>,[3338>
886,"1783,699,1919,824",4}0,43
887,"1796,699,1920,822",,
889,"1826,693,1919,822",,
890,"1855,696,1920,832",,
891,"1886,688,1919,838",,
897,"0,807,27,925",,
898,"370,797,420,840",,
899,"0,812,62,925",8,8
904,"0,813,157,929",,
905,"0,810,172,924",,
908,"1,810,221,922",,
909,"14,811,236,921",,
910,"30,810,253,923",,
911,"48,810,265,923",,
912,"63,809,285,923",,
913,"79,810,301,919",,
914,"92,808,316,920",,
915,"108,810,332,920",,
916,"128,813,344,924",,
917,"144,814,358,926",চট্ট মেদ্রো ১১-৮৩৪৯,চট্ট মেদ্রো ১১-৮৩৪৯
918,"158,818,372,928",৮ট মেদ্রেো ১১-৮৩৪৯,৮ট মেট্রেো ১১-৮৩৪৯
919,"172,819,389,935",,
920,"180,820,408,932",,
922,"217,828,439,939",,
923,"232,829,454,941",,
924,"243,831,477,942",,
925,"262,830,493,943",,
926,"282,832,504,941",,
927,"301,834,520,943",১-:58;,মেভে ১-:58.
928,"318,831,538,943",চটট ম ১১-`8:,চট্ট ম ১১-ড `৪:
929,"332,826,557,944",,
930,"352,826,574,941",,
931,"372,825,590,939","` `)%>?,","7`)?:,"
932,"386,820,610,936",,
933,"406,816,629,936",,
934,"425,813,648,936",,
935,"447,811,663,932",,
936,"465,810,679,930",,
937,"479,808,698,930",,
938,"492,806,718,921",,
939,"508,802,735,915",,
940,"523,799,752,912",,
941,"540,796,769,913",,
942,"561,795,783,909",,
943,"583,795,798,906",,
944,"600,792,815,899",,
945,"612,791,832,898",,
946,"627,789,846,895",,
947,"651,787,858,891",,
948,"666,781,874,892","""য 363>",১'৮ ?
949,"674,779,891,886",,
950,"689,775,907,882",,
951,"707,772,919,881",,
952,"722,770,935,879",,
953,"738,770,951,877",,
954,"754,768,965,873",,
955,"768,765,983,874",,
956,"787,764,997,874",,
957,"804,763,1010,876",,
958,"820,763,1027,869",চষ্ট ম-্রর ১১- ৩৪১,চষটু মর ১১-.  ৪১
959,"832,757,1045,868",,
960,"844,759,1063,865",,
961,"862,759,1075,867",,
962,"882,758,1089,868",^,^ ১^ {
963,"902,755,1103,867",,
964,"911,758,1124,866",,
965,"925,756,1137,863",,
966,"944,755,1148,863",,
967,"962,753,1164,864",,
968,"976,754,1178,861","১৮;^,",.৮ 9:3
969,"997,755,1191,857",৬11 স0ে| ১১-৮৩৪৯,1;11 মমৈ | ১১-৮৩8৯
970,"1009,754,1203,854",চট্ট মেট্রো ১১-৮৩৪৯,চট্ট মেট্রো ১১-৮৩৪৯
971,"1021,751,1219,855",চ7) 45]1 ১৯-৮৪৯,৬৬ 'ডো ১১-৮ ৪১
972,"1030,747,1233,857",,
973,"1044,746,1243,851",,
974,"1053,743,1257,847",,
975,"1060,741,1268,846",,
976,"1072,740,1276,842",,
977,"1080,740,1287,839",,
978,"1087,738,1297,838",,
979,"1101,734,1305,835",,
980,"1117,732,1321,834",,
981,"1130,731,1336,834",,
982,"1147,728,1354,834",,
983,"1167,731,1377,831",,
984,"1189,733,1399,832",,
985,"1218,730,1425,831",,
986,"1248,731,1457,833",,
987,"1281,731,1494,831",,
988,"1314,730,1539,832",,
989,"1347,730,1579,835",,
991,"1428,731,1659,839",,
992,"1474,731,1698,837",,
993,"1512,732,1744,839",,
995,"1593,732,1836,838",,
996,"1646,731,1887,839",,
1000,"1848,715,1919,840",,
